geometry,load_case,sample_id,s1_x,s1_y,s2_x,s2_y,compliance,timestamp
tapered_plate,combined_tip,52,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:39
tapered_plate,combined_tip,53,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:39
tapered_plate,combined_tip,54,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:39
tapered_plate,combined_tip,55,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T02:40:39
tapered_plate,combined_tip,56,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:39
tapered_plate,combined_tip,57,20.0,27.0,80.0,12.0,23.364201045717834,2025-11-26T02:40:39
tapered_plate,combined_tip,58,20.0,27.0,80.0,27.0,23.574407313727363,2025-11-26T02:40:39
tapered_plate,combined_tip,59,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:39
tapered_plate,combined_tip,60,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:40
tapered_plate,combined_tip,61,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:40
tapered_plate,combined_tip,62,20.0,27.0,80.0,12.0,23.364201045717834,2025-11-26T02:40:40
tapered_plate,combined_tip,63,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:40
tapered_plate,combined_tip,64,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T02:40:40
tapered_plate,combined_tip,65,20.0,27.0,80.0,42.0,23.429175332891653,2025-11-26T02:40:40
tapered_plate,combined_tip,66,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:40
tapered_plate,combined_tip,67,20.0,42.0,80.0,12.0,22.801344477080022,2025-11-26T02:40:40
tapered_plate,combined_tip,68,20.0,27.0,80.0,42.0,23.429175332891653,2025-11-26T02:40:40
tapered_plate,combined_tip,69,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T02:40:40
tapered_plate,combined_tip,70,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:40
tapered_plate,combined_tip,71,20.0,27.0,80.0,42.0,23.429175332891653,2025-11-26T02:40:40
tapered_plate,combined_tip,72,20.0,42.0,80.0,12.0,22.801344477080022,2025-11-26T02:40:40
tapered_plate,combined_tip,73,20.0,27.0,80.0,42.0,23.429175332891653,2025-11-26T02:40:40
tapered_plate,combined_tip,74,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:40
tapered_plate,combined_tip,75,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:40
tapered_plate,combined_tip,76,20.0,27.0,80.0,27.0,23.574407313727363,2025-11-26T02:40:40
tapered_plate,combined_tip,77,20.0,27.0,80.0,27.0,23.574407313727363,2025-11-26T02:40:40
