geometry,load_case,sample_id,s1_x,s1_y,s2_x,s2_y,compliance,timestamp
l_bracket,horizontal_tip,1,70.19797138879542,12.5815446460464,23.83663529686219,50.7810571056071,382.6411188458648,2025-11-26T00:25:35
l_bracket,horizontal_tip,2,5.0,13.837807897217225,17.773262714977278,21.10391854832272,455.09181050995136,2025-11-26T00:25:35
l_bracket,horizontal_tip,3,24.485538139120266,95.0,13.093104784141229,58.07966459998328,224.66745035192744,2025-11-26T00:25:35
l_bracket,horizontal_tip,4,14.972313883735012,21.20563596795902,24.15132091379259,86.55109512684305,271.55089744528664,2025-11-26T00:25:35
l_bracket,horizontal_tip,5,6.288115017499568,45.61033901139977,16.41425887112623,26.66791777376636,386.9910791105181,2025-11-26T00:25:35
l_bracket,horizontal_tip,6,82.85299084095385,20.303045685629083,24.424204661921078,19.298860890473872,460.5546844009795,2025-11-26T00:25:35
l_bracket,horizontal_tip,7,20.440472538482428,87.51478186309849,11.769289013957717,45.74787799446105,223.64155644877718,2025-11-26T00:25:35
l_bracket,horizontal_tip,8,95.0,19.589381555895518,5.0,12.318877197601253,468.39512971794767,2025-11-26T00:25:35
l_bracket,horizontal_tip,9,92.85029082227491,9.464641470979574,71.67867297426689,5.0,478.7289939049052,2025-11-26T00:25:35
l_bracket,horizontal_tip,10,8.840249889278207,95.0,5.0,70.72355934304049,207.43215121385904,2025-11-26T00:25:35
l_bracket,horizontal_tip,11,62.59556692908647,5.0,19.869788638132906,78.354152919991,272.3948695799066,2025-11-26T00:25:35
l_bracket,horizontal_tip,12,8.70305821854281,39.38049158968997,50.36021954489278,13.587215683397158,414.75997865850195,2025-11-26T00:25:35
l_bracket,horizontal_tip,13,88.42487976012477,20.484006476018003,17.858107530782274,5.0,472.5220576525247,2025-11-26T00:25:35
l_bracket,horizontal_tip,14,21.514711709923716,5.0,94.3908625243199,5.0,473.2468322340601,2025-11-26T00:25:35
l_bracket,horizontal_tip,15,44.5446277750782,5.9868479272571165,78.01761111104253,6.870158205266147,476.6590084645764,2025-11-26T00:25:35
l_bracket,horizontal_tip,16,15.420232034678,5.665730912653899,36.90767228785501,17.518994412730322,468.4932108228109,2025-11-26T00:25:35
l_bracket,horizontal_tip,17,11.620563642577919,68.59072330642508,24.195448667242168,56.23453714649542,250.59171538678066,2025-11-26T00:25:35
l_bracket,horizontal_tip,18,5.0,92.78034391338332,76.53412034001651,8.269644224945699,293.06746111428834,2025-11-26T00:25:35
l_bracket,horizontal_tip,19,7.827681454183377,12.830560384769619,7.891167061304705,5.0,468.3925251854394,2025-11-26T00:25:35
l_bracket,horizontal_tip,20,20.65593664313231,75.01399411894727,23.060267980530014,78.50042062140037,212.4698877926399,2025-11-26T00:25:35
l_bracket,horizontal_tip,21,18.137346651279866,23.520059313111897,17.958097666117624,5.0,454.454058055296,2025-11-26T00:25:35
l_bracket,horizontal_tip,22,63.295797446963206,15.577018035643796,6.357884413939802,34.259820802304276,430.8675610458491,2025-11-26T00:25:35
l_bracket,horizontal_tip,23,11.75564047787851,70.07142458910234,7.828533965903667,37.75734234844976,257.1817752200568,2025-11-26T00:25:35
l_bracket,horizontal_tip,24,6.153275844711359,59.89210795066311,5.0,44.40869860043075,308.8860603124818,2025-11-26T00:25:35
l_bracket,horizontal_tip,25,76.67061779835424,5.0,22.007019907171994,71.18037281471565,293.6886833107559,2025-11-26T00:25:35
l_bracket,horizontal_tip,26,38.52126387804731,5.0,17.293715219358894,5.113488652592429,473.903709340518,2025-11-26T00:25:35
l_bracket,horizontal_tip,27,14.015163166166356,83.185957951597,21.053281691913828,12.438398918063642,253.24223865501529,2025-11-26T00:25:35
l_bracket,horizontal_tip,28,12.008111912666308,5.0,8.378182149232034,5.0,473.14197171025785,2025-11-26T00:25:35
l_bracket,horizontal_tip,29,56.443481993179546,5.0,9.733764923148215,15.73850406610197,464.9407115593911,2025-11-26T00:25:35
l_bracket,horizontal_tip,30,32.70569228440934,12.965051668034256,21.168002726828515,34.027924067803106,432.7827997149632,2025-11-26T00:25:35
