epoch,loss,val_loss
0,1.0575590133666992,0.5590562224388123
1,1.0289907455444336,0.535420298576355
2,1.0010483264923096,0.5111703872680664
3,0.9734336733818054,0.4873320460319519
4,0.945479691028595,0.46424323320388794
5,0.9172958135604858,0.4415138363838196
6,0.8887537121772766,0.4189485013484955
7,0.8606033325195312,0.39696431159973145
8,0.8329316973686218,0.3755974769592285
9,0.80462646484375,0.3547744154930115
10,0.7757668495178223,0.3348940312862396
11,0.7473615407943726,0.3153076171875
12,0.7197809815406799,0.29593899846076965
13,0.6916510462760925,0.2764689326286316
14,0.662802517414093,0.2570818066596985
15,0.633130669593811,0.2379414141178131
16,0.6034374237060547,0.21911902725696564
17,0.5731280446052551,0.20068025588989258
18,0.5421671271324158,0.18251393735408783
19,0.5109004378318787,0.1651609092950821
20,0.4796627461910248,0.1486678570508957
21,0.4483780860900879,0.13325528800487518
22,0.41714057326316833,0.11901702731847763
23,0.3860357403755188,0.105943962931633
24,0.35537272691726685,0.09423486888408661
25,0.3252831995487213,0.08414310961961746
26,0.29606878757476807,0.07575781643390656
27,0.2678835093975067,0.06926309317350388
28,0.24078154563903809,0.06467126309871674
29,0.21509762108325958,0.06221833825111389
30,0.19108787178993225,0.06207882612943649
31,0.16873139142990112,0.06424663960933685
32,0.1481274962425232,0.06869668513536453
33,0.12984201312065125,0.07515951246023178
34,0.11378456652164459,0.0835423693060875
35,0.09994231164455414,0.09369760006666183
36,0.08858559280633926,0.10522600263357162
37,0.07957002520561218,0.11812178790569305
38,0.07258433103561401,0.13062620162963867
39,0.06739203631877899,0.1418745219707489
40,0.06344963610172272,0.15105858445167542
41,0.06039900705218315,0.15759685635566711
42,0.05787210911512375,0.16116106510162354
43,0.05572323873639107,0.16155532002449036
44,0.053500134497880936,0.15889820456504822
45,0.0510115921497345,0.15343371033668518
46,0.0482158288359642,0.1455603390932083
47,0.04521126672625542,0.13584882020950317
48,0.04204948991537094,0.12484274804592133
49,0.038809824734926224,0.11374568939208984
50,0.035529881715774536,0.10297103971242905
51,0.03233521431684494,0.09249474108219147
52,0.029345612972974777,0.08284526318311691
53,0.02671838365495205,0.07397057861089706
54,0.02441883459687233,0.06593826413154602
55,0.02247137762606144,0.05885275453329086
56,0.020871002227067947,0.05280057340860367
57,0.01957477256655693,0.047713372856378555
58,0.01855623349547386,0.04343380779027939
59,0.017803216353058815,0.03986271098256111
60,0.01724627986550331,0.036914147436618805
61,0.016838159412145615,0.03449545055627823
62,0.016543488949537277,0.03255271166563034
63,0.01633179374039173,0.031017115339636803
64,0.01617158204317093,0.02980913780629635
65,0.01604219153523445,0.02887643873691559
66,0.01591316983103752,0.028178546577692032
67,0.01578405126929283,0.02766099013388157
68,0.015635978430509567,0.027291011065244675
69,0.015466900542378426,0.027042632922530174
70,0.015270771458745003,0.02691223844885826
71,0.015062302350997925,0.026890968903899193
72,0.01484257448464632,0.026964416727423668
73,0.014605388045310974,0.027115080505609512
74,0.014357365667819977,0.027329105883836746
75,0.01410150807350874,0.027594318613409996
76,0.013840517029166222,0.027900701388716698
77,0.01358003355562687,0.028234120458364487
78,0.013318379409611225,0.028582196682691574
79,0.013056796975433826,0.028932863846421242
80,0.012796027585864067,0.029275182634592056
81,0.012532164342701435,0.029599130153656006
82,0.012268485501408577,0.02989400364458561
83,0.01200103759765625,0.030151396989822388
84,0.011732315644621849,0.03036951646208763
85,0.011458707973361015,0.030548056587576866
86,0.01118463184684515,0.03068990632891655
87,0.01090896874666214,0.030789002776145935
88,0.010637950152158737,0.030841980129480362
89,0.010371280834078789,0.030855229124426842
90,0.010111473500728607,0.03082503005862236
91,0.009860491380095482,0.030755719169974327
92,0.009616248309612274,0.03064718469977379
93,0.009383328258991241,0.030498677864670753
94,0.009155841544270515,0.030336782336235046
95,0.008939972147345543,0.03016854263842106
96,0.008733538910746574,0.02999160625040531
97,0.008538519032299519,0.02980918250977993
98,0.00835156999528408,0.029624367132782936
99,0.008174672722816467,0.029441002756357193
100,0.008001839742064476,0.029261309653520584
101,0.007830994203686714,0.02908574603497982
102,0.007661011070013046,0.02891436591744423
103,0.007491822354495525,0.028744008392095566
104,0.007329876534640789,0.028573524206876755
105,0.007170754484832287,0.02840954065322876
106,0.00701433140784502,0.028278017416596413
107,0.006865382194519043,0.028147602453827858
108,0.006721613463014364,0.028014009818434715
109,0.0065805851481854916,0.027882179245352745
110,0.006440374068915844,0.027747999876737595
111,0.006301774177700281,0.027607765048742294
112,0.006167561747133732,0.027453890070319176
113,0.0060311355628073215,0.027291053906083107
114,0.005899010691791773,0.02711746096611023
115,0.005769234616309404,0.026931118220090866
116,0.005641428288072348,0.026731546968221664
117,0.00551625108346343,0.02651544287800789
118,0.0053941551595926285,0.02628590539097786
119,0.005276110023260117,0.026039231568574905
120,0.005158846732228994,0.025781676173210144
121,0.005044662393629551,0.025517662987113
122,0.00493414793163538,0.02524814009666443
123,0.004825395531952381,0.024973955005407333
124,0.004718467593193054,0.024695981293916702
