iter,compliance,x1,y1,x2,y2,method,wall_time_ms
0,11.074186559860832,10.0,10.0,30.0,5.0,mmc,96.60911560058594
1,10.837937876207867,10.15,10.15,29.65,5.275,mmc,96.60911560058594
2,9.656877111028814,10.29625,10.29625,29.30875,5.543125000000001,mmc,96.60911560058594
3,8.038747198126332,10.43884375,10.43884375,28.97603125,5.804546875000001,mmc,96.60911560058594
4,7.487838132226098,10.57787265625,10.57787265625,28.65163046875,6.059433203125001,mmc,96.60911560058594
5,6.113453037234136,10.71342583984375,10.71342583984375,28.33533970703125,6.307947373046876,mmc,96.60911560058594
6,3.239738059807549,10.845590193847656,10.845590193847656,28.02695621435547,6.550248688720703,mmc,96.60911560058594
7,1.4119101199526194,10.974450439001464,10.974450439001464,27.72628230899658,6.786492471502686,mmc,96.60911560058594
8,0.3684322637743203,11.100089178026428,11.100089178026428,27.433125251271665,7.016830159715118,mmc,96.60911560058594
9,-0.14426007662433304,11.222586948575767,11.222586948575767,27.147297119989872,7.24140940572224,mmc,96.60911560058594
10,-0.030622090285404992,11.342022274861373,11.342022274861373,26.868614691990125,7.4603741705791835,mmc,96.60911560058594
11,0.5902998206068965,11.458471717989838,11.458471717989838,26.596899324690373,7.673864816314704,mmc,96.60911560058594
12,1.1157453301495803,11.572009925040092,11.572009925040092,26.331976841573113,7.882018195906836,mmc,96.60911560058594
13,1.5115736269610838,11.68270967691409,11.68270967691409,26.073677420533784,8.084967741009166,mmc,96.60911560058594
14,-1.3426347551835625,11.790641934991237,11.790641934991237,25.82183548502044,8.282843547483937,mmc,96.60911560058594
15,0.157825345206404,11.895875886616457,11.895875886616457,25.576289597894927,8.475772458796838,mmc,96.60911560058594
16,0.581507210713904,11.998478989451046,11.998478989451046,25.336882357947555,8.663878147326917,mmc,96.60911560058594
17,0.6474830511544363,12.09851701471477,12.09851701471477,25.103460298998865,8.847281193643745,mmc,96.60911560058594
18,0.6069238675508503,12.1960540893469,12.1960540893469,24.875873791523894,9.026099163802652,mmc,96.60911560058594
19,0.8875617483206475,12.291152737113228,12.291152737113228,24.653976946735796,9.200446684707586,mmc,96.60911560058594
20,0.9563276477333428,12.383873918685397,12.383873918685397,24.437627523067402,9.370435517589897,mmc,96.60911560058594
21,0.6541717523949623,12.474277070718262,12.474277070718262,24.226686834990716,9.53617462965015,mmc,96.60911560058594
22,-0.18079078223806047,12.562420143950305,12.562420143950305,24.021019664115947,9.697770263908897,mmc,96.60911560058594
23,-1.6080722707004271,12.648359640351547,12.648359640351547,23.820494172513047,9.855326007311174,mmc,96.60911560058594
24,-2.250577796282073,12.732150649342758,12.732150649342758,23.624981818200222,10.008942857128394,mmc,96.60911560058594
25,-2.7521959746236235,12.81384688310919,12.81384688310919,23.434357272745217,10.158719285700185,mmc,96.60911560058594
26,-3.849380102031698,12.893500711031459,12.893500711031459,23.248498340926588,10.30475130355768,mmc,96.60911560058594
27,-5.516634713057729,12.971163193255672,12.971163193255672,23.067285882403425,10.447132520968738,mmc,96.60911560058594
28,-8.065477368160039,13.04688411342428,13.04688411342428,22.89060373534334,10.58595420794452,mmc,96.60911560058594
29,-11.116457294787534,13.120712010588672,13.120712010588672,22.718338641959757,10.721305352745906,mmc,96.60911560058594
30,-12.241991369843985,13.192694210323955,13.192694210323955,22.550380175910764,10.85327271892726,mmc,96.60911560058594
