iter,compliance,x1,y1,x2,y2,x3,y3,method,wall_time_ms,geometry,load_case
0,-23048.439392388733,14.0,6.5,32.0,10.0,50.0,13.5,mmc,114.6126639458441,ribbed_channel,upward_tip
1,-17292.64744714541,14.0,7.1375,32.45,10.0,49.0,13.4125,mmc,114.6126639458441,ribbed_channel,upward_tip
2,4347.196526765867,14.0,7.759062500000001,32.88875,10.0,48.025,13.327187499999999,mmc,114.6126639458441,ribbed_channel,upward_tip
3,9840.451442417667,14.0,8.3650859375,33.316531250000004,10.0,47.074374999999996,13.2440078125,mmc,114.6126639458441,ribbed_channel,upward_tip
4,10097.35383153528,14.0,8.9559587890625,33.73361796875,10.0,46.147515625,13.1629076171875,mmc,114.6126639458441,ribbed_channel,upward_tip
5,15447.496685558464,14.0,9.532059819335938,34.14027751953125,10.0,45.243827734374996,13.083834926757813,mmc,114.6126639458441,ribbed_channel,upward_tip
6,34205.46954357534,14.0,10.093758323852539,34.536770581542974,10.0,44.36273204101562,13.006739053588868,mmc,114.6126639458441,ribbed_channel,upward_tip
7,56863.6312752536,14.0,10.641414365756225,34.9233513170044,10.0,43.50366373999023,12.931570577249147,mmc,114.6126639458441,ribbed_channel,upward_tip
8,60157.37885167013,14.0,11.175379006612319,35.300267534079296,10.0,42.66607214649048,12.858281312817919,mmc,114.6126639458441,ribbed_channel,upward_tip
9,65391.52627635837,14.0,11.695994531447012,35.667760845727315,10.0,41.84942034282822,12.786824279997472,mmc,114.6126639458441,ribbed_channel,upward_tip
10,105028.24387977833,14.0,12.203594668160836,36.026066824584134,10.0,41.053184834257515,12.717153672997535,mmc,114.6126639458441,ribbed_channel,upward_tip
11,237600.69424008342,14.0,12.698504801456815,36.375415153969534,10.0,40.27685521340108,12.649224831172596,mmc,114.6126639458441,ribbed_channel,upward_tip
12,497400.5277452737,14.0,13.181042181420395,36.7160297751203,10.0,39.51993383306605,12.58299421039328,mmc,114.6126639458441,ribbed_channel,upward_tip
13,-398100.1751594817,14.0,13.651516126884886,37.04812903074229,10.0,38.781935487239394,12.51841935513345,mmc,114.6126639458441,ribbed_channel,upward_tip
14,-732240.338115107,14.0,14.110228223712763,37.311112506508714,9.783732188510449,38.12320039852342,12.671726682744664,mmc,114.6126639458441,ribbed_channel,upward_tip
15,182224.12881625554,14.0,14.557472518119944,37.63484323211715,9.701120401589426,37.41361185028918,12.692951997884308,mmc,114.6126639458441,ribbed_channel,upward_tip
16,114805.71540094636,14.0,14.993535705166945,37.94397215131422,9.70859239154969,36.72827155403195,12.6256281979372,mmc,114.6126639458441,ribbed_channel,upward_tip
17,80699.25015437083,14.0,15.418697312537772,38.245372847531364,9.715877581760948,36.06006476518115,12.55998749298877,mmc,114.6126639458441,ribbed_channel,upward_tip
18,45730.895571018395,14.0,15.833229879724326,38.53923852634308,9.722980642216925,35.40856314605163,12.49598780566405,mmc,114.6126639458441,ribbed_channel,upward_tip
19,17594.723164029645,14.0,16.23739913273122,38.8257575631845,9.729906126161502,34.77334906740034,12.43358811052245,mmc,114.6126639458441,ribbed_channel,upward_tip
20,1799.0462793414408,14.0,16.63146415441294,39.10511362410489,9.736658473007465,34.15401534071533,12.372748407759389,mmc,114.6126639458441,ribbed_channel,upward_tip
21,-5936.257858645618,14.0,17.0,39.377485783502266,9.743242011182279,33.55016495719745,12.313429697565404,mmc,114.6126639458441,ribbed_channel,upward_tip
22,-9791.50861910639,14.0,17.0,39.643048638914706,9.749660960902721,32.961410833267514,12.255593955126269,mmc,114.6126639458441,ribbed_channel,upward_tip
23,-11316.755296624915,14.0,17.0,39.90197242294184,9.755919436880154,32.38737556243583,12.199204106248112,mmc,114.6126639458441,ribbed_channel,upward_tip
24,-10659.89417402959,14.0,17.0,40.15442311236829,9.76202145095815,31.827691173374934,12.14422400359191,mmc,114.6126639458441,ribbed_channel,upward_tip
25,-9544.310170924378,14.0,17.0,40.400562534559086,9.767970914684197,31.28199889404056,12.090618403502113,mmc,114.6126639458441,ribbed_channel,upward_tip
26,-8471.85940642432,14.0,17.0,40.64054847119511,9.773771641817092,30.749948921689544,12.03835294341456,mmc,114.6126639458441,ribbed_channel,upward_tip
27,-8302.37033153493,14.0,17.0,40.87453475941523,9.779427350771664,30.231200198647304,11.987394119829196,mmc,114.6126639458441,ribbed_channel,upward_tip
28,-8441.219331641227,14.0,17.0,41.102671390429855,9.784941667002373,29.72542019368112,11.937709266833465,mmc,114.6126639458441,ribbed_channel,upward_tip
29,-8619.940025196327,14.0,17.0,41.32510460566911,9.790318125327314,29.232284688839094,11.889266535162628,mmc,114.6126639458441,ribbed_channel,upward_tip
30,-8590.58410431699,14.0,17.0,41.54197699052738,9.795560172194131,28.751477571618118,11.842034871783563,mmc,114.6126639458441,ribbed_channel,upward_tip
