iter,compliance,x1,y1,x2,y2,method,wall_time_ms,edge_margin,min_spacing,load_case
0,-0.5817803536284092,1.0,1.0,15.0,3.0,mmc,118.19974068672425,1.0,2.0,horizontal_tip
1,1.4430545903877017,1.375,1.375,15.025,3.325,mmc,118.19974068672425,1.0,2.0,horizontal_tip
2,3.590548937838907,1.740625,1.740625,15.049375,3.641875,mmc,118.19974068672425,1.0,2.0,horizontal_tip
3,5.718232068199151,2.097109375,2.097109375,15.073140624999999,3.950828125,mmc,118.19974068672425,1.0,2.0,horizontal_tip
4,-1.0519012826534828,2.4446816406250003,2.4446816406250003,15.096312109374999,4.2520574218750005,mmc,118.19974068672425,1.0,2.0,horizontal_tip
5,-0.2678824554617278,2.783564599609375,2.783564599609375,15.118904306640625,4.545755986328126,mmc,118.19974068672425,1.0,2.0,horizontal_tip
6,-0.4902288487031717,3.1139754846191408,3.1139754846191408,15.140931698974608,4.832112086669922,mmc,118.19974068672425,1.0,2.0,horizontal_tip
7,-0.46942872260381263,3.4361260975036623,3.4361260975036623,15.162408406500242,5.111309284503174,mmc,118.19974068672425,1.0,2.0,horizontal_tip
8,-0.9288250111728599,3.7502229450660707,3.7502229450660707,15.183348196337736,5.383526552390595,mmc,118.19974068672425,1.0,2.0,horizontal_tip
9,-1.9627660548419215,4.056467371439419,4.056467371439419,15.203764491429293,5.648938388580831,mmc,118.19974068672425,1.0,2.0,horizontal_tip
10,-2.8952512130296877,4.355055687153434,4.355055687153434,15.223670379143561,5.9077149288663104,mmc,118.19974068672425,1.0,2.0,horizontal_tip
11,-3.76959073120319,4.646179294974598,4.646179294974598,15.243078619664972,6.160022055644653,mmc,118.19974068672425,1.0,2.0,horizontal_tip
12,-5.303820170417417,4.930024812600233,4.930024812600233,15.262001654173348,6.406021504253537,mmc,118.19974068672425,1.0,2.0,horizontal_tip
13,-7.503643896009967,5.206774192285227,5.206774192285227,15.280451612819014,6.645870966647198,mmc,118.19974068672425,1.0,2.0,horizontal_tip
14,-10.028852672069648,5.476604837478097,5.476604837478097,15.29844032249854,6.879724192481018,mmc,118.19974068672425,1.0,2.0,horizontal_tip
15,-19.226487501749762,5.739689716541144,5.739689716541144,15.315979314436076,7.107731087668993,mmc,118.19974068672425,1.0,2.0,horizontal_tip
16,-65.55108922920971,5.996197473627616,5.996197473627616,15.333079831575175,7.330037810477268,mmc,118.19974068672425,1.0,2.0,horizontal_tip
17,-26.67781897874284,6.2462925367869255,6.2462925367869255,15.349752835785795,7.546786865215337,mmc,118.19974068672425,1.0,2.0,horizontal_tip
18,-13.100830354106465,6.490135223367252,6.490135223367252,15.36600901489115,7.758117193584953,mmc,118.19974068672425,1.0,2.0,horizontal_tip
19,-12.693908702457504,6.727881842783071,6.727881842783071,15.381858789518871,7.964164263745329,mmc,118.19974068672425,1.0,2.0,horizontal_tip
20,-16.126055688073226,6.9596847967134945,6.9596847967134945,15.3973123197809,8.165060157151697,mmc,118.19974068672425,1.0,2.0,horizontal_tip
21,-11.489214425857707,7.185692676795657,7.185692676795657,15.412379511786378,8.360933653222904,mmc,118.19974068672425,1.0,2.0,horizontal_tip
22,-5.721534403096789,7.406050359875766,7.406050359875766,15.42707002399172,8.551910311892332,mmc,118.19974068672425,1.0,2.0,horizontal_tip
23,-3.930835568454749,7.620899100878872,7.620899100878872,15.441393273391926,8.738112554095023,mmc,118.19974068672425,1.0,2.0,horizontal_tip
24,-2.7605496852352833,7.8303766233569005,7.8303766233569005,15.455358441557127,8.919659740242647,mmc,118.19974068672425,1.0,2.0,horizontal_tip
25,-1.712258302393989,8.034617207772978,8.034617207772978,15.468974480518199,9.09666824673658,mmc,118.19974068672425,1.0,2.0,horizontal_tip
26,-0.8496760981520313,8.233751777578654,8.233751777578654,15.482250118505243,9.269251540568167,mmc,118.19974068672425,1.0,2.0,horizontal_tip
27,-0.1701035754120893,8.427907983139187,8.427907983139187,15.495193865542612,9.437520252053963,mmc,118.19974068672425,1.0,2.0,horizontal_tip
28,0.07448571089586248,8.617210283560707,8.617210283560707,15.507814018904046,9.601582245752613,mmc,118.19974068672425,1.0,2.0,horizontal_tip
29,0.005264715160595353,8.80178002647169,8.80178002647169,15.520118668431445,9.761542689608799,mmc,118.19974068672425,1.0,2.0,horizontal_tip
30,0.42566568828141726,8.981735525809897,8.981735525809897,15.53211570172066,9.917504122368578,mmc,118.19974068672425,1.0,2.0,horizontal_tip
