iter,compliance,x1,y1,x2,y2,x3,y3,method,wall_time_ms,geometry,load_case
0,13029.749319521079,14.0,6.5,32.0,10.0,50.0,13.5,mmc,115.44869022984658,ribbed_channel,lateral_shear
1,11765.289960249243,14.0,7.1375,32.45,10.0,49.0,13.4125,mmc,115.44869022984658,ribbed_channel,lateral_shear
2,11808.510587457828,14.0,7.759062500000001,32.88875,10.0,48.025,13.327187499999999,mmc,115.44869022984658,ribbed_channel,lateral_shear
3,20825.052699680018,14.0,8.3650859375,33.316531250000004,10.0,47.074374999999996,13.2440078125,mmc,115.44869022984658,ribbed_channel,lateral_shear
4,32578.80547241455,14.0,8.9559587890625,33.73361796875,10.0,46.147515625,13.1629076171875,mmc,115.44869022984658,ribbed_channel,lateral_shear
5,36842.98823273124,14.0,9.532059819335938,34.14027751953125,10.0,45.243827734374996,13.083834926757813,mmc,115.44869022984658,ribbed_channel,lateral_shear
6,31382.672755407802,14.0,10.093758323852539,34.536770581542974,10.0,44.36273204101562,13.006739053588868,mmc,115.44869022984658,ribbed_channel,lateral_shear
7,30557.112697351175,14.0,10.641414365756225,34.9233513170044,10.0,43.50366373999023,12.931570577249147,mmc,115.44869022984658,ribbed_channel,lateral_shear
8,41891.73050028259,14.0,11.175379006612319,35.300267534079296,10.0,42.66607214649048,12.858281312817919,mmc,115.44869022984658,ribbed_channel,lateral_shear
9,66720.55154674164,14.0,11.695994531447012,35.667760845727315,10.0,41.84942034282822,12.786824279997472,mmc,115.44869022984658,ribbed_channel,lateral_shear
10,113427.11387446617,14.0,12.203594668160836,36.026066824584134,10.0,41.053184834257515,12.717153672997535,mmc,115.44869022984658,ribbed_channel,lateral_shear
11,231513.31549879105,14.0,12.698504801456815,36.375415153969534,10.0,40.27685521340108,12.649224831172596,mmc,115.44869022984658,ribbed_channel,lateral_shear
12,448196.31742585613,14.0,13.181042181420395,36.7160297751203,10.0,39.51993383306605,12.58299421039328,mmc,115.44869022984658,ribbed_channel,lateral_shear
13,-619736.395600521,14.0,13.651516126884886,37.04812903074229,10.0,38.781935487239394,12.51841935513345,mmc,115.44869022984658,ribbed_channel,lateral_shear
14,-1988492.1931929085,14.0,14.110228223712763,37.311112506508714,9.783732188510449,38.12320039852342,12.671726682744664,mmc,115.44869022984658,ribbed_channel,lateral_shear
15,395445.6230170945,14.0,14.557472518119944,37.63484323211715,9.701120401589426,37.41361185028918,12.692951997884308,mmc,115.44869022984658,ribbed_channel,lateral_shear
16,185708.31740593398,14.0,14.993535705166945,37.94397215131422,9.70859239154969,36.72827155403195,12.6256281979372,mmc,115.44869022984658,ribbed_channel,lateral_shear
17,181641.10222029133,14.0,15.418697312537772,38.245372847531364,9.715877581760948,36.06006476518115,12.55998749298877,mmc,115.44869022984658,ribbed_channel,lateral_shear
18,174337.98687833466,14.0,15.833229879724326,38.53923852634308,9.722980642216925,35.40856314605163,12.49598780566405,mmc,115.44869022984658,ribbed_channel,lateral_shear
19,189484.9243272555,14.0,16.23739913273122,38.8257575631845,9.729906126161502,34.77334906740034,12.43358811052245,mmc,115.44869022984658,ribbed_channel,lateral_shear
20,196551.99830722922,14.0,16.63146415441294,39.10511362410489,9.736658473007465,34.15401534071533,12.372748407759389,mmc,115.44869022984658,ribbed_channel,lateral_shear
21,195076.66940685824,14.0,17.0,39.377485783502266,9.743242011182279,33.55016495719745,12.313429697565404,mmc,115.44869022984658,ribbed_channel,lateral_shear
22,163783.19902196675,14.0,17.0,39.643048638914706,9.749660960902721,32.961410833267514,12.255593955126269,mmc,115.44869022984658,ribbed_channel,lateral_shear
23,138161.94517373928,14.0,17.0,39.90197242294184,9.755919436880154,32.38737556243583,12.199204106248112,mmc,115.44869022984658,ribbed_channel,lateral_shear
24,118570.80267220312,14.0,17.0,40.15442311236829,9.76202145095815,31.827691173374934,12.14422400359191,mmc,115.44869022984658,ribbed_channel,lateral_shear
25,105540.60560340874,14.0,17.0,40.400562534559086,9.767970914684197,31.28199889404056,12.090618403502113,mmc,115.44869022984658,ribbed_channel,lateral_shear
26,96004.43601680378,14.0,17.0,40.64054847119511,9.773771641817092,30.749948921689544,12.03835294341456,mmc,115.44869022984658,ribbed_channel,lateral_shear
27,86636.08317001288,14.0,17.0,40.87453475941523,9.779427350771664,30.231200198647304,11.987394119829196,mmc,115.44869022984658,ribbed_channel,lateral_shear
28,78158.70861130887,14.0,17.0,41.102671390429855,9.784941667002373,29.72542019368112,11.937709266833465,mmc,115.44869022984658,ribbed_channel,lateral_shear
29,72364.74920266165,14.0,17.0,41.32510460566911,9.790318125327314,29.232284688839094,11.889266535162628,mmc,115.44869022984658,ribbed_channel,lateral_shear
30,68986.25857912036,14.0,17.0,41.54197699052738,9.795560172194131,28.751477571618118,11.842034871783563,mmc,115.44869022984658,ribbed_channel,lateral_shear
